text,boolean-src,pagination,pagination-href
"""A bag of Cheetos costs less to buy than an apple,"" and in some Milwaukee neighborhoods ""good luck trying to find an apple or a banana or some sort of healthy option""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=295"
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif","","http://www.politifact.com/truth-o-meter/statements/?page=420"
"""No one thought we could get a bipartisan bill (Medicaid) passed. We did in the Florida Senate.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png","","http://www.politifact.com/truth-o-meter/statements/?page=482"
"""For [GM] to pay back everything it owes, it would have to sell its shares at $143 a share . . . where the highest value of a General Motors share ever was $43, $44, $46, whatever the dollars were . . .""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png","","http://www.politifact.com/truth-o-meter/statements/?page=514"
"Says  ""I don’t agree with Mr. Hales that we should give a sweeping break to the developers to allow them to build that infill housing without paying for those very basics.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=390"
"Says Sal Esquivel wants a 5 percent state sales tax on groceries.","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif","","http://www.politifact.com/truth-o-meter/statements/?page=547"
"Paul Ryan ""cut embassy security in his budget by $300 million below what we asked for.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=340"
"The Dog Meat Festival in Yulin, China, ""threatens global public health.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif","","http://www.politifact.com/truth-o-meter/statements/?page=75"
"""Before Leaving, Obama Enacts Rules to Take $3,000 From EVERY American.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png","","http://www.politifact.com/truth-o-meter/statements/?page=25"
"""We’re now spending 42 percent of our economy on government.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=345"
"""Every day in the United States, we are losing 15 factories.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png","","http://www.politifact.com/truth-o-meter/statements/?page=439"
"Says Rick Perry of Texas was ""the governor who relied most on stimulus funds to close his state’s budget deficit in 2010.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=475"
"Says Thom Tillis ""refuses to say what we should do to combat ISIS.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=191"
"""Wisconsin’s state budget is almost twice as large per person as the state budget of Texas, and even after billions in tax cuts, Wisconsin’s working families and businesses remain subject to a heavy tax burden.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=179"
"""He (Obama) has done several things well. Most of those things are places where  he changed his view from where he had during the campaign. So, for instance, he's  left our troops in Iraq and they're being more successful there. He boosted our  effort in Afghanistan, which is the right course to take. He did not close  Guantanamo, thank heavens.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png","","http://www.politifact.com/truth-o-meter/statements/?page=595"
"""After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-true.png","","http://www.politifact.com/truth-o-meter/statements/?page=174"
"""Rob Teilhet, Just another career politician.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png","","http://www.politifact.com/truth-o-meter/statements/?page=577"
"""Illegal immigration and the crime rate are as low as they’ve been in decades.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=60"
"""We have created more jobs in this last year than the Bush administration (did) in eight years.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=492"
"Blocking travel from countries with Ebola should be possible because President Barack Obama ""has sealed off Israel in the past.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png","","http://www.politifact.com/truth-o-meter/statements/?page=187"
"“Under (Rick Perry’s) watch as governor, over six million Texans have no health care coverage, including one million children, homeowners suffer from the highest insurance rates in the country, and college tuition has skyrocketed 136 percent.”","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=600"
"""In 1940, only 7 percent of Germans were Nazis.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png","","http://www.politifact.com/truth-o-meter/statements/?page=132"
"Wisconsin’s Government Accountability Board ""wanted to consider Mickey Mouse and Adolf Hitler as valid signatures on recall petitions.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png","","http://www.politifact.com/truth-o-meter/statements/?page=124"
"Donald Trump says ""all Mexicans are rapists.""","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png","","http://www.politifact.com/truth-o-meter/statements/?page=57"
"Ohio taxpayers spent more than $67 million ""for the year"" on food stamps and Medicaid for Wal-Mart workers","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png","","http://www.politifact.com/truth-o-meter/statements/?page=522"
"Says she balanced a $10 billion budget shortfall without raising taxes.","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png","","http://www.politifact.com/truth-o-meter/statements/?page=397"
