,text,truthVals
0,"""A bag of Cheetos costs less to buy than an apple,"" and in some Milwaukee neighborhoods ""good luck trying to find an apple or a banana or some sort of healthy option""",0.8
1,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",0.0
2,"""No one thought we could get a bipartisan bill (Medicaid) passed. We did in the Florida Senate.""",0.2
3,"""For [GM] to pay back everything it owes, it would have to sell its shares at $143 a share . . . where the highest value of a General Motors share ever was $43, $44, $46, whatever the dollars were . . .""",0.2
4,"Says  ""I don’t agree with Mr. Hales that we should give a sweeping break to the developers to allow them to build that infill housing without paying for those very basics.""",0.8
5,Says Sal Esquivel wants a 5 percent state sales tax on groceries.,0.0
6,"Paul Ryan ""cut embassy security in his budget by $300 million below what we asked for.""",0.6
7,"The Dog Meat Festival in Yulin, China, ""threatens global public health.""",0.0
8,"""Before Leaving, Obama Enacts Rules to Take $3,000 From EVERY American.""",0.4
9,"""We’re now spending 42 percent of our economy on government.""",0.8
10,"""Every day in the United States, we are losing 15 factories.""",1.0
11,"Says Rick Perry of Texas was ""the governor who relied most on stimulus funds to close his state’s budget deficit in 2010.""",0.6
12,"Says Thom Tillis ""refuses to say what we should do to combat ISIS.""",0.8
13,"""Wisconsin’s state budget is almost twice as large per person as the state budget of Texas, and even after billions in tax cuts, Wisconsin’s working families and businesses remain subject to a heavy tax burden.""",0.8
14,"""He (Obama) has done several things well. Most of those things are places where  he changed his view from where he had during the campaign. So, for instance, he's  left our troops in Iraq and they're being more successful there. He boosted our  effort in Afghanistan, which is the right course to take. He did not close  Guantanamo, thank heavens.""",0.2
15,"""After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding.""",1.0
16,"""Rob Teilhet, Just another career politician.""",0.4
17,"""Illegal immigration and the crime rate are as low as they’ve been in decades.""",0.8
18,"""We have created more jobs in this last year than the Bush administration (did) in eight years.""",0.8
19,"Blocking travel from countries with Ebola should be possible because President Barack Obama ""has sealed off Israel in the past.""",0.4
20,"“Under (Rick Perry’s) watch as governor, over six million Texans have no health care coverage, including one million children, homeowners suffer from the highest insurance rates in the country, and college tuition has skyrocketed 136 percent.”",0.6
21,"""In 1940, only 7 percent of Germans were Nazis.""",0.4
22,"Wisconsin’s Government Accountability Board ""wanted to consider Mickey Mouse and Adolf Hitler as valid signatures on recall petitions.""",0.2
23,"Donald Trump says ""all Mexicans are rapists.""",0.2
24,"Ohio taxpayers spent more than $67 million ""for the year"" on food stamps and Medicaid for Wal-Mart workers",0.6
25,Says she balanced a $10 billion budget shortfall without raising taxes.,0.4
26,Says Mitt Romney did not pay taxes for 10 years.,0.0
27,"""Nationally, the unemployment rate for veterans is far greater than the national unemployment rate,"" and Wisconsin is ""one of those rare examples where unemployment is actually lower for veterans than it is for the population as a whole and certainly lower than it is nationally.""",0.6
28,"""...some of those (tax increases) were either court-ordered, or they were voted on by the people and approved by the people for (such) things as roads.""",0.6
29,"""For decades before I was elected, governors tried and failed to get Minnesota out of the top 10 highest-taxed states in the country. I actually did it.""",0.6
30,"""If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.""",1.0
31,"Rural schools ""face the highest dropout rates, the lowest college enrollment rates, have the lowest average teacher salaries...""",0.6
32,"""Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know who's done OK and who's not complaining today? The public sector. We've gained 590,000 public sector jobs.""",0.6
33,"""In the 18th Congressional District, 100% of electric generation comes from coal.""",1.0
34,"Harry Reid has voted ""to give special tax breaks to illegal aliens.""",0.2
35,"""House Bill 6627 also requires the applicant to attest to their eligibility to vote, as is required by the National Voter Registration Act and used by all other states that have (automatic voter registration).""",1.0
