text,pagination,pagination-href,link_to_truth_page-src
"Says U.S. greenhouse gas ""emissions are at 20-year lows.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"""Smog was invented in Los Angeles. It was. The name was invented. There was a fellow at Caltech and he came up with the idea and they called it smog.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"A bill to advance the Keystone XL Pipeline ""is an earmark"" under House rules.","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-false.png"
"Says 

""With nearly 75 percent of Americans supportive of the construction of the pipeline, Schrader needs to explain to Oregon families why he voted against this needed project.""","","http://www.politifact.com/subjects/climate-change/statements/?page=6","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"More money is dedicated within the Department of Homeland Security to climate change than what's spent combating ""Islamist terrorists radicalizing over the Internet in the United States of America.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlytrue.png"
"""Bill White ... supports the ‘ObamaCare’ socialized medicine plan, as well as ‘Cap and Trade’ legislation that would kill thousands of Texas jobs.""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
"Mark Warner’s ""record is one of acting against"" the Keystone XL pipeline.","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"Says. Rep. Joe Barton, R-Texas, once said, ""Wind is a finite resource and harnessing it would slow the winds down, which would cause the temperature to go up.""","","http://www.politifact.com/subjects/climate-change/statements/?page=3","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"A cap-and-trade plan promoted by Barack Obama would hit hardest ""those already struggling to make ends meet.""","","http://www.politifact.com/subjects/climate-change/statements/?page=9","http://static.politifact.com.s3.amazonaws.com/rulings/tom-halftrue.png"
"""We would create thousands of jobs in Colorado, if the Keystone Pipeline were to be built.""","","http://www.politifact.com/subjects/climate-change/statements/?page=4","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"Says President Barack Obama’s homeland security budget had ""$16 million to fight climate change"" but ""didn't have a line item to fight violent extremism.""","","http://www.politifact.com/subjects/climate-change/statements/?page=2","http://static.politifact.com.s3.amazonaws.com/rulings/tom-mostlyfalse.png"
"""My opponent in November of 2008 sent a missive to the White House, to President Obama-elect, and said, 'Here's how you need to sell cap-and-trade to the American people.' ""","","http://www.politifact.com/subjects/climate-change/statements/?page=8","http://static.politifact.com.s3.amazonaws.com/rulings/tom-pantsonfire.gif"
